date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:02	83210/83210	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Oct%202020%2018:54:01%20GMT	https://earthing.truepower.co.in/bond-copper-electrodes/	G:/Freelance/learn%20more/earthing.truepower.co.in/bond-copper-electrodes/index.html	(from )
00:24:11	70523/70523	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-1137b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.css	G:/Freelance/learn%20more/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:12	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.0/dist/aos.css	G:/Freelance/learn%20more/unpkg.com/aos@2.3.0/dist/aos.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:12	53593/53593	---M--	200	added ('OK')	text/css	etag:%22e3d7a-d159-5a6ef72fb0000%22	https://earthing.truepower.co.in/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-includes/css/dist/block-library/style.min7661.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:12	1645/1645	---M--	200	added ('OK')	text/css	etag:%22125ff6-66d-598f13b7ad800%22	https://earthing.truepower.co.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:13	8448/8448	---M--	200	added ('OK')	text/css	etag:%22106825-2100-5acf882360b00%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/style.css?ver=1.0.0	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/style8a54.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:13	2574/2574	---M--	200	added ('OK')	text/css	etag:%22106836-a0e-597187c1f7940%22	https://earthing.truepower.co.in/wp-content/themes/twentytwenty/print.css?ver=1.0.0	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twentytwenty/print8a54.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:13	17296/17296	---M--	200	added ('OK')	text/css	etag:%22e40e3-4390-5b0080c4aaa00%22	http://earthing.truepower.co.in/wp-content/uploads/pum/pum-site-styles.css?generated=1600923496&ver=1.8.14	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/uploads/pum/pum-site-styles621b.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:13	11425/11425	---M--	200	added ('OK')	text/css	etag:%22c4928-2ca1-5946858454e80%22	https://earthing.truepower.co.in/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.13-9993131	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-includes/js/mediaelement/mediaelementplayer-legacy.minc270.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:14	4186/4186	---M--	200	added ('OK')	text/css	etag:%22c4917-105a-58ac1e7924f80%22	https://earthing.truepower.co.in/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=5.4.2	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-includes/js/mediaelement/wp-mediaelement.min7661.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:14	3248/3248	---M--	200	added ('OK')	text/css	etag:%22106810-cb0-58b810cb84c00%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/css/owl.carousel.min.css?ver=1.5	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/css/owl.carousel.min7ef2.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:14	140930/140930	---M--	200	added ('OK')	text/css	etag:%22106813-22682-58b810cb84c00%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/css/bootstrap.min.css?ver=1.6	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/css/bootstrap.minf24c.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:15	1518/1518	---M--	200	added ('OK')	text/css	etag:%22106811-5ee-58b82dc532880%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/css/owl.theme.css?ver=1.4	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/css/owl.themead05.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:15	18481/18481	---M--	200	added ('OK')	text/css	etag:%22106814-4831-5a8a770fa2600%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/css/style.css?ver=1.2	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/css/style62ea.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:15	5416/5416	---M--	200	added ('OK')	text/css	etag:%22106208-1528-598f218139f40%22	https://earthing.truepower.co.in/wp-content/plugins/easy-media-gallery/css/frontend.css?ver=5.4.2	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/plugins/easy-media-gallery/css/frontend7661.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:15	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%22e3bd2-17a69-5890dc7401880%22	https://earthing.truepower.co.in/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-includes/js/jquery/jquery4a5f.js	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:16	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%22e3ba7-2748-5333ff613c400%22	https://earthing.truepower.co.in/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:16	29485/29485	---M--	200	added ('OK')	application/javascript	etag:%22106851-732d-597187c1f7940%22	https://earthing.truepower.co.in/wp-content/themes/twentytwenty/assets/js/index.js?ver=1.0.0	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twentytwenty/assets/js/index8a54.js	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:16	7032/7032	---M--	200	added ('OK')	text/css	etag:%2210620b-1b78-598f29abae340%22	https://earthing.truepower.co.in/wp-content/plugins/easy-media-gallery/css/styles/mediabox/Light.css	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/plugins/easy-media-gallery/css/styles/mediabox/Light.css	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:16	4396/4396	---M--	200	added ('OK')	image/png	etag:%221067b1-112c-596958e955c80%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/logo.png	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/logo.png	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:16	124896/124896	---M--	200	added ('OK')	image/png	etag:%221067d8-1e7e0-5974d98f4a880%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/products/Bond-Copper-Electrode-01.png	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/products/Bond-Copper-Electrode-01.png	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Oct%202020%2018:54:18%20GMT	https://earthing.truepower.co.in/bond-copper-electrodes/bond-copper-electrode	G:/Freelance/learn%20more/earthing.truepower.co.in/bond-copper-electrodes/bond-copper-electrode	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:17	24977/24977	---M--	200	added ('OK')	image/png	etag:%221067c6-6191-596a79fc8e000%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-1.png	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-1.png	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:18	28901/28901	---M--	200	added ('OK')	image/png	etag:%221067c8-70e5-596a7d30b6f00%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-2.png	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-2.png	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:18	47620/47620	---M--	200	added ('OK')	image/png	etag:%221067fa-ba04-596a7d3e10e80%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-3.png	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-3.png	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:18	22711/22711	---M--	200	added ('OK')	image/png	etag:%221067fb-58b7-596a7d6436880%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-4.png	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-4.png	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:18	15792/15792	---M--	200	added ('OK')	image/png	etag:%221067ae-3db0-596a7d7378c80%22	https://earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-5.png	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/themes/twenty-twenty-child/img/certification-5.png	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:19	14440/14440	---M--	200	added ('OK')	application/javascript	etag:%22125ff2-3868-598f13b7ad800%22	https://earthing.truepower.co.in/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.6	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/plugins/contact-form-7/includes/js/scriptsb62d.js	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:19	181241/181241	---M--	200	added ('OK')	image/jpeg	etag:%22164ac1-2c3f9-5ad377158ba00%22	https://truepower.co.in/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-19-at-13.57.57.jpeg	G:/Freelance/learn%20more/truepower.co.in/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-19-at-13.57.57.jpg	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
00:24:19	2300/2300	---M--	200	added ('OK')	application/javascript	etag:%22106287-8fc-59dce5460b100%22	https://earthing.truepower.co.in/wp-content/plugins/wpcf7-redirect/js/wpcf7-redirect-script.js	G:/Freelance/learn%20more/earthing.truepower.co.in/wp-content/plugins/wpcf7-redirect/js/wpcf7-redirect-script.js	(from https://earthing.truepower.co.in/bond-copper-electrodes/)
